Nombre,FincoMóvil
Fecha de inicio,1/5/16
Fecha final,1/4/26

Fecha,Dispositivos activos
1/5/16,7.0
1/6/16,14.0
1/7/16,93.0
1/8/16,81.0
1/9/16,69.0
1/10/16,72.0
1/11/16,77.0
1/12/16,87.0
1/1/17,188.0
1/2/17,108.0
1/3/17,122.0
1/4/17,118.0
1/5/17,120.0
1/6/17,140.0
1/7/17,151.0
1/8/17,146.0
1/9/17,155.0
1/10/17,178.0
1/11/17,190.0
1/12/17,220.0
1/1/18,298.0
1/2/18,256.0
1/3/18,308.0
1/4/18,296.0
1/5/18,322.0
1/6/18,331.0
1/7/18,403.0
1/8/18,432.0
1/9/18,526.0
1/10/18,419.0
1/11/18,404.0
1/12/18,433.0
1/1/19,486.0
1/2/19,457.0
1/3/19,451.0
1/4/19,477.0
1/5/19,456.0
1/6/19,531.0
1/7/19,556.0
1/8/19,524.0
1/9/19,499.0
1/10/19,513.0
1/11/19,518.0
1/12/19,541.0
1/1/20,705.0
1/2/20,846.0
1/3/20,891.0
1/4/20,976.0
1/5/20,828.0
1/6/20,861.0
1/7/20,1013.0
1/8/20,1033.0
1/9/20,1002.0
1/10/20,1012.0
1/11/20,1042.0
1/12/20,964.0
1/1/21,1037.0
1/2/21,955.0
1/3/21,941.0
1/4/21,957.0
1/5/21,996.0
1/6/21,1037.0
1/7/21,1236.0
1/8/21,1292.0
1/9/21,1254.0
1/10/21,1383.0
1/11/21,1255.0
1/12/21,1304.0
1/1/22,1344.0
1/2/22,1354.0
1/3/22,1399.0
1/4/22,1465.0
1/5/22,1445.0
1/6/22,1539.0
1/7/22,1605.0
1/8/22,1671.0
1/9/22,1667.0
1/10/22,1610.0
1/11/22,1643.0
1/12/22,1663.0
1/1/23,1851.0
1/2/23,1684.0
1/3/23,1769.0
1/4/23,1811.0
1/5/23,1871.0
1/6/23,1878.0
1/7/23,2066.0
1/8/23,2102.0
1/9/23,2156.0
1/10/23,2114.0
1/11/23,2078.0
1/12/23,2136.0
1/1/24,2388.0
1/2/24,2367.0
1/3/24,2437.0
1/4/24,2405.0
1/5/24,2401.0
1/6/24,2553.0
1/7/24,2592.0
1/8/24,2748.0
1/9/24,2734.0
1/10/24,2899.0
1/11/24,2869.0
1/12/24,2908.0
1/1/25,3108.0
1/2/25,3075.0
1/3/25,3063.0
1/4/25,3078.0
1/5/25,3364.0
1/6/25,3417.0
1/7/25,3670.0
1/8/25,3719.0
1/9/25,3382.0
1/10/25,3818.0
1/11/25,3828.0
1/12/25,3945.0
1/1/26,4311.0
1/2/26,4066.0
1/3/26,4300.0
1/4/26,1614.0
